"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"271",2022,"tamaulipas",6,11,33,20,21,18,15,18,16,9,14,7,7,5,1,3
"272",2023,"tamaulipas",15,58,61,57,74,74,57,45,47,35,37,23,18,14,9,11
"273",2016,"tlaxcala",0,1,0,1,1,1,1,5,2,1,3,0,1,0,1,0
"274",2017,"tlaxcala",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"275",2018,"tlaxcala",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"276",2019,"tlaxcala",1,2,2,2,3,3,8,4,4,4,0,3,2,3,2,1
"277",2020,"tlaxcala",0,0,0,0,2,1,1,0,1,1,1,1,0,0,0,0
"278",2021,"tlaxcala",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"279",2022,"tlaxcala",0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"280",2023,"tlaxcala",0,0,1,2,1,3,1,1,1,0,4,2,0,0,0,0
"281",2016,"veracruz",454,703,997,1164,1378,1471,1263,1038,967,857,747,518,382,212,162,194
"282",2017,"veracruz",224,358,433,388,368,363,307,255,223,183,159,130,98,61,47,59
"283",2018,"veracruz",603,1284,1511,1228,1176,1280,1002,774,633,565,502,335,250,164,108,103
"284",2019,"veracruz",1995,4481,5601,4935,4062,4218,3685,3049,2547,2283,1956,1498,1121,714,454,559
"285",2020,"veracruz",187,543,645,546,545,577,476,375,356,283,230,180,126,74,55,64
"286",2021,"veracruz",73,200,277,189,187,202,201,165,128,122,110,75,56,31,28,23
"287",2022,"veracruz",129,370,515,424,319,292,279,253,221,170,156,120,84,45,47,35
"288",2023,"veracruz",796,2416,3567,2794,3223,3364,3205,2654,2226,1980,1745,1315,893,672,330,447
"289",2016,"yucat'an",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290",2017,"yucat'an",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"291",2018,"yucat'an",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
